Cod	Secc	Curso	Tipo	Horario	Aula	Docente
BEF01	A	ETICA Y FILOSOFIA POLITICA	TEORIA	VI 10-11	R1-450	ROMERO CIEZA, JOSÉ
BEF01	A	ETICA Y FILOSOFIA POLITICA	PRACTICA	VI 11-13	R1-450	ROMERO CIEZA, JOSÉ
BEF01	B	ETICA Y FILOSOFIA POLITICA	PRACTICA	MI 17-19	R1-460	ROMERO CIEZA, JOSÉ
BEF01	B	ETICA Y FILOSOFIA POLITICA	TEORIA	MI 16-17	R1-460	ROMERO CIEZA, JOSÉ
BEF01	C	ETICA Y FILOSOFIA POLITICA	TEORIA	VI 19-20	zoom24	ROMERO CIEZA, JOSÉ
BEF01	C	ETICA Y FILOSOFIA POLITICA	PRACTICA	VI 20-22	zoom24	ROMERO CIEZA, JOSÉ
BEG01	A	ECONOMIA GENERAL	TEORIA	LU 16-18	R3-123C	VERA RONCALLA, CESAR ANIBAL
BEG01	A	ECONOMIA GENERAL	PRACTICA	MA 17-19	R3-123C	CRUZ BARRIOS CARLOS RUBEN
BEG01	B	ECONOMIA GENERAL	TEORIA	VI 8-10	R1-411	VERA RONCALLA, CESAR ANIBAL
BEG01	B	ECONOMIA GENERAL	PRACTICA	LU 17-19	R1-401	SOLORZANO VARGAS, JULIO CESAR
BEG01	C	ECONOMIA GENERAL	TEORIA	LU 16-18	R1-411	CRUZ BARRIOS CARLOS RUBEN
BEG01	C	ECONOMIA GENERAL	PRACTICA	MA 16-18	R1-430	CLAVIJO RAMOS, RAÚL HUMBERTO
BEG01	D	ECONOMIA GENERAL	TEORIA	LU 10-12	R3-123C	SOLORZANO VARGAS, JULIO CESAR
BEG01	D	ECONOMIA GENERAL	PRACTICA	MI 10-12	R1-411	SOLORZANO VARGAS, JULIO CESAR
BFI01	A	FISICA I	TEORIA	JU 10-12	J3-162A	TELLO GALVEZ, JULIO CÉSAR
BFI01	A	FISICA I	TEORIA	MA 10-12	J3-162B	TELLO GALVEZ, JULIO CÉSAR
BFI01	A	FISICA I	PRACTICA	LU 14-16	J3-182A	AMORETTI VIDAL, JESÚS ESTEBAN
BFI01	A	FISICA I	LABORATORIO	MA 16-18	LAB F	AMORETTI VIDAL, JESÚS ESTEBAN
BFI01	B	FISICA I	TEORIA	JU 10-12	J3-182B	RIVERA ASCONA, CHRISTIAN
BFI01	B	FISICA I	TEORIA	VI 10-12	J3-182A	RIVERA ASCONA, CHRISTIAN
BFI01	B	FISICA I	PRACTICA	LU 14-16	J3-182B	CORTEZ REYES, GREGORIO CUSTODIO
BFI01	B	FISICA I	LABORATORIO	MA 14-16	LAB F	CORTEZ REYES, GREGORIO CUSTODIO
BFI01	C	FISICA I	TEORIA	LU 10-12	J3-242	ZEVALLOS HERENCIA, MARIA ISELA
BFI01	C	FISICA I	TEORIA	MA 10-12	J3-242	ZEVALLOS HERENCIA, MARIA ISELA
BFI01	C	FISICA I	PRACTICA	LU 14-16	J3-252	PAUCAR ROMERO, HERBERTH GUSTAVO
BFI01	C	FISICA I	LABORATORIO	JU 16-18	LAB F	PAUCAR ROMERO, HERBERTH GUSTAVO
BFI01	D	FISICA I	TEORIA	MA 14-16	J3-242	AMORETTI VIDAL, JESÚS ESTEBAN
BFI01	D	FISICA I	TEORIA	JU 16-18	J3-232	AMORETTI VIDAL, JESÚS ESTEBAN
BFI01	D	FISICA I	PRACTICA	LU 14-16	J3-222	CORTEZ REYES, GREGORIO CUSTODIO
